index,product,category,sub_category,brand,sale_price,market_price,type,rating,description,questions
17708,"Hair Color 87.5 g + 72 ml, 530 Praline Brown + Color Protect Shampoo 175 ml",Beauty & Hygiene,Hair Care,Loreal Paris,617.5,700.0,Hair Color,,"L'Oreal Paris Casting Creme Gloss (87.5 g + 72 ml), 530 Praline Brown:
Casting Creme Gloss is an ammonia-free hair colour that gives your hair visible shimmering tones, glossy shine and covers greys. It gives you the richness of natural hair colour that lasts up to 28 shampoos. Casting Creme Gloss super-nourishing formula of caring conditioner leaves your hair nourished, soft, voluptuous. 
Available in 11 glossy shades. Easy to apply with the non-drip crème formula in just 20 minutes, even for beginners. The delicate fragrance makes colouring a luxurious treat. Get natural-looking results and ultra-glossy colour with Casting Creme Gloss by L'Oreal Paris India. No-ammonia hair colour that gives natural-looking colour with visible shimmering tones and a glossy shine.
 
L'Oreal Paris Color Protect Shampoo, 175 ml:
Colour Protect shampoo by L'Oreal Paris nourishes the hair and transforms its surface, keeping the hair protected and prolonging the colour radiance. The Colour Protect formula with UV filter- Light Reflecting System combines an active nourishing ingredient and filters for colour-treated hair. It nourishes the hair and transforms its surface so your hair feels silky to touch. Colour Protect Shampoo also helps protect the hair fibre from external aggressions and accentuates the colour’s radiance.
L’Oréal Paris offers hair conditioners for every concern and hair type. Whether you’re looking to moisturise dry hair, want a conditioner for coloured hair, or want to help repair damaged hair with a deep conditioner, we have the hair conditioner - and shampoo - that best fits your needs!","[""Is L'Oreal Paris Casting Creme Gloss (87.5 g + 72 ml), 530 Praline Brown ammonia-free?"", ""How many shades are available for L'Oreal Paris Casting Creme Gloss (87.5 g + 72 ml)?"", ""Does L'Oreal Paris Casting Creme Gloss (87.5 g + 72 ml), 530 Praline Brown allow you to achieve visible shimmering tones?"", ""How long does the colour of L'Oreal Paris Casting Creme Gloss (87.5 g + 72 ml) last?"", ""Which L'Oreal Paris shampoo is designed to protect colour-treated hair from UV damage?""]"
17709,Vitamin C Face Wash With Vitamin C & Turmeric For Skin Illumination,Beauty & Hygiene,Skin Care,Mamaearth,249.0,249.0,Face Care,4.0,"The first step in a skincare routine, cleansing or washing your face helps in eliminating excess oil, dirt, and lethargy.Mamaearth Vitamin C Face Wash with the goodness of Vitamin C and Turmeric has brightening properties to give your skin a natural glow. It also helps in skin repair by boosting collagen production and blood circulation, leaving the skin radiant and healthy. Perfect for daily use, this face wash suits all skin types, retains moisture, controls excess oil, and fights free radical damage.Dermatologically tested, this Vitamin C Face Wash has no harmful chemicals and is free of Toxins, Parabens, and Mineral Oils.","['How does the Vitamin C Face Wash help in skin repair?', 'Which ingredients are present in the Vitamin C Face Wash?', 'What are the benefits of using the Vitamin C Face Wash daily?', 'Can the Vitamin C Face Wash control excess oil?', 'Is the Vitamin C Face Wash Dermatologically tested?']"
17721,"Total Care Baby Pants - Small, 28S",Baby Care,Diapers & Wipes,Himalaya,375.0,375.0,Diapers,3.5,"Powered by a natural anti-rash shield, Indian Aloe and Yashad Bhasma (Zinc Oxide, that prevents the risk of diaper rash), it is soft and has an easy-to-fit design. It offers care and comfort to your baby; silky soft inner layer for soft & sensitive skin.Breathable fabric ensures proper air circulation and leakproof soft elastic edges prevent leakage. Super Absorbent Polymer (SAP) layer rapidly absorbs multiple wettings and provides maximum protection from dampness. Wetness indicator turns green to show when baby wets the diaper keeps skin dry so that baby gets an undisturbed and restful sleep.","['Does Total Care Baby Pants Small, 28S contain zinc oxide?', 'Which natural ingredients are used in Total Care Baby Pants Small, 28S?', 'What kind of fabric is Total Care Baby Pants Small, 28S made of?', 'How does the wetness indicator in Total Care Baby Pants Small, 28S work?', 'What is the purpose of the Super Absorbent Polymer (SAP) layer in Total Care Baby Pants Small, 28S?']"
17725,Ultra Light Aquagel Suncreen+Purifying Cleanser,Beauty & Hygiene,Skin Care,Kaya Clinic,960.0,960.0,Face Care,,"A broad-spectrum sunscreen specially designed for oily/acne prone skin, to provide superior sun protection against harmful UVA and UVB rays. It does not clog pores, thereby reducing the possibility of acne breakouts and also protects the skin against the onslaught of environmental damage. This gel-based, fragrance-free formula gives a cooling sensation with a weightless, matte finish. Formula researched and developed by dermatologists.Tip: Following a regular skin care regime can help you achieve flawless skin. For more tips on skin care, visit bigbasket lifestyle blog, Click Here to visit bigbasket’s lifestyle blogCleanse your pores from deep with kaya purifying cleanser. It removes excess oil, dirt and impurities. containing salicylic acid with acne fighting properties, It helps reduce acne and prevents future breakouts. Unique skin conditioners ensure that skin doesn't feel stretched and dry. A must-have for clear, oil-free and healthier looking skin. Formula researched and developed by dermatologists.","['Is the Ultra Light Aquagel Suncreen+Purifying Cleanser a cream-based product?', 'How does the Purifying Cleanser help in reducing acne breakouts?', 'Can Ultra Light Aquagel Suncreen be applied on dry skin?', 'What are the skin benefits of using the Ultra Light Aquagel Suncreen+Purifying Cleanser?', 'Is the Purifying Cleanser suitable for all skin types?']"
17761,Moisturizing Aloe Vera Face Wash,Beauty & Hygiene,Skin Care,Himalaya,190.84,380.0,Face Care,4.2,"Himalayas Moisturizing Aloe Vera Face Wash is a soap-free formulation that replenishes lost moisture from your skin after every wash, eradicating dry and stretched skin. It is enriched with Cucumber which cools and soothes while Aloe Vera tones and softens your skin. Our Moisturizing Aloe Vera Face Wash combines natural ingredients to cleanse your skin, leaving it feeling fresh and glowing.","['Does Himalayas Moisturizing Aloe Vera Face Wash contain any soap?', 'How does Cucumber benefit the skin in Moisturizing Aloe Vera Face Wash?', 'Which natural ingredients are combined in Moisturizing Aloe Vera Face Wash for cleansing the skin?', 'Does Aloe Vera in Moisturizing Aloe Vera Face Wash help in toning the skin?', 'How does Himalayas Moisturizing Aloe Vera Face Wash leave the skin feeling after use?']"
17781,Bio Mountain Ebony - Fresh Growth Stimulating Vitalising Serum,Beauty & Hygiene,Hair Care,BIOTIQUE,138.0,185.0,Hair Oil & Serum,4.2,"Biotique Bio Mountain Ebony Fresh Growth Stimulating Serum is a valuable, flowering hardwood tree that grows in the mountains and is known for its exciting and remedial properties. Besides, other helpful ingredients in the serum contain long pepper, glycyrrhizin as well as the euphorbia tree which is useful in promoting new and well hair development. Stimulates hair, from root to tip and leaves scalp feeling toned, exhilarated, free from dryness and irritation","['Is Biotique Bio Mountain Ebony Fresh Growth Stimulating Serum made with natural ingredients?', 'How long does it take to see results after using Bio Mountain Ebony Vitalising Serum?', 'Which tree is known for its exciting and remedial properties in Bio Mountain Ebony Fresh Growth Stimulating Serum?', 'How does Bio Mountain Ebony Vitalising Serum leave the scalp feeling?', 'What are the key ingredients in Biotique Bio Mountain Ebony Fresh Growth Stimulating Vitalising Serum?']"
17805,Sun Expert SPF 50 Gel,Beauty & Hygiene,Skin Care,Lakme,349.3,499.0,Face Care,3.7,"Say goodbye to sticky sunscreens: Get a guaranteed 97% protection from harmful UV rays in an exciting new gel format! This lightweight gel sunscreen is ideal for Indian weather which tends to get hot and humid. It spreads easily on the skin and leaves your skin with an ultra-matte feel. In addition, it provides broad-spectrum UV protection which means it guards your skin against both UVA and UVB rays.","['Is Sun Expert SPF 50 Gel recommended for use in cold climates too?', 'Can Sun Expert SPF 50 Gel be used on a daily basis?', 'Does Sun Expert SPF 50 Gel leave a sticky residue on the skin?', 'What percentage of UV rays does Sun Expert SPF 50 Gel protect against?', 'How does Sun Expert SPF 50 Gel protect against UV rays?']"
17910,Men Expert Turbo Booster - Hydra Energetic,Beauty & Hygiene,Men's Grooming,Loreal Paris,770.0,770.0,Face & Body,4.0,"The first revitalizing and intensive moisturizer from Loreal Men Expert. It fights the signs of fatigue by giving your skin a radiant boost. Vitamin C: Helps to recharge skin, helping it look less tired and stressed, and brighter. Pro-Phosphore: Is a unique active that energises ADS Active Defense System: Is a powerful soothing active ingredient, helps reinforce the skin's natural resistance against daily aggressions for less tightness and more comfort","['Is Men Expert Turbo Booster suitable for sensitive skin?', 'Can Men Expert Turbo Booster be used on a daily basis?', 'What are the key ingredients in Men Expert Turbo Booster?', 'How does Men Expert Turbo Booster help with skin fatigue?', 'Does Men Expert Turbo Booster contain any artificial fragrances?']"
17972,"Lip Balm, Blackberry Shine, 24h Moisture With Natural Oils, Ruby Red Shine & Berry Aroma",Beauty & Hygiene,Makeup,Nivea,151.7,185.0,Lips,4.5,"Nivea blackberry shine lip care delights your lips with its delicious blackberry aroma, a fabulous shimmer, and soft glossy colour. Pamper your lips with its gentle care and long-lasting moisturisation to get soft and smooth lips, long-lasting moisturisation combined with delightful Blackberry aroma and chosen pigments that leave a touch of colour on your lips.","['Is the Nivea Blackberry Shine Lip Balm blackberry flavored?', 'How long does the moisture last with Nivea Blackberry Shine Lip Balm?', 'Which natural oils are used in Nivea Blackberry Shine Lip Balm?', 'What scent does Nivea Blackberry Shine Lip Balm have?', 'Does Nivea Blackberry Shine Lip Balm contain any artificial colors?']"
18056,Intense Hydration Body Lotion,Beauty & Hygiene,Skin Care,Kaya Clinic,352.0,440.0,Body Care,4.3,"Extreme weather conditions and harsh cleansers strip your skin of its essential oils. Kayas intense moisture lock formula keeps your skin hydrated for 24 hours without re-application. Shea and Kokum butter replenish and restore essential oils to skin that is dry, leaving it feeling soft and smooth to touch. Its soothing fragrance will stimulate your senses all day long.","['Is the scent of Intense Hydration Body Lotion long-lasting?', 'How many hours does the hydration of Intense Hydration Body Lotion last without re-application?', 'What are the key ingredients in Intense Hydration Body Lotion?', 'Does Intense Hydration Body Lotion protect against extreme weather conditions?', 'Does the Intense Hydration Body Lotion come in different sizes or scents?']"
