index,product,category,sub_category,brand,sale_price,market_price,type,rating,description,questions
5,Creme Soft Soap - For Hands & Body,Beauty & Hygiene,Bath & Hand Wash,Nivea,162.0,162.0,Bathing Bars & Soaps,4.4,"Nivea Creme Soft Soap gives your skin the best care that it must get. The soft bar consists of Vitamins F and Almonds which are really skin gracious and help you get great skin. It provides the skin with moisture and leaves behind flawless and smooth skin. It makes sure that your body is totally free of germs & dirt and at the same time well nourished.For Beauty tips, tricks & more visit https://bigbasket.blog/","['How does Nivea Creme Soft Soap provide moisture to the skin?', 'What are the main ingredients in Nivea Creme Soft Soap?', 'How does Nivea Creme Soft Soap help in maintaining smooth skin?', 'Can Nivea Creme Soft Soap be used for both hands and body?', 'What benefits does Nivea Creme Soft Soap offer for the skin?']"
103,Fructis Serum - Long & Strong,Beauty & Hygiene,Hair Care,Garnier,230.0,230.0,Shampoo & Conditioner,4.8,"Garnier Fruits Long & Strong Strengthening Serum detangles unruly hair, softens hair without heaviness and helps stop split and breakage ends. It is enriched with the goodness of Grape seed and avocado oil that result in smoother, shinier and longer hair.  For Beauty tips, tricks & more visit https://bigbasket.blog/","['Is Garnier Fruits Long & Strong Strengthening Serum suitable for all hair types?', 'What are the key ingredients in Fructis Serum Long & Strong?', 'How long does Fructis Serum Long & Strong need to be left in the hair?', 'Can Fructis Serum Long & Strong be used daily?', 'How does Fructis Serum Long & Strong help with hair health and appearance?']"
128,Cherry Lip Balm 4.5 g + Deep Nourish Elbow & Foot Cream 50 g,Beauty & Hygiene,Skin Care,Kaya Clinic,455.0,525.0,Lip Care,,"Cherry Lip Balm:

The skin on your lips is thinner than your facial skin and requires nourishing care to keep it supple and hydrated
Kaya Derma Naturals lip balms are a handbag essential that comes in stick format which is easy to use and carry when you are out and about 
Heals dry and chapped lips 
Moisturised and softens lips 
Soft glossy look 6.Contains SPF protection

Deep Nourish Elbow & Foot Cream: This cream is specially formulated to gently heal rough and cracked feet. It is also recommended for foot softening, treating corns, calluses and thick skin around the elbows and knees. Makes feet smooth and soft.","['Does Cherry Lip Balm have SPF protection?', 'Is Cherry Lip Balm easy to carry around?', 'Is Deep Nourish Elbow & Foot Cream recommended for treating corns?', 'How does Cherry Lip Balm help in healing dry lips?', 'Can Deep Nourish Elbow & Foot Cream be used on knees with thick skin?']"
163,Color Naturals Creme Riche Ultra Hair Color - Raspberry Red,Beauty & Hygiene,Hair Care,Garnier,199.0,199.0,Hair Color,4.1,"Garnier Color Naturals is creme hair colour which gives 100% Grey Coverage and ultra visible colour with 50% more shine. It has a superior Colour Lock technology which gives you a rich long-lasting colour that lasts up to 8 weeks. Color Naturals comes in a range of 8 gorgeous shades especially suited for Indian skin tones. It is available in an easy to use kit which can be used at your convenience in the comfort of your house! It is enriched with the goodness of 3 oils - Almond, Olive and Avocado which nourishes hair and provides shiny, long-lasting colour. Your hair will love the nourishment and you will love the colour!","['How many different shades are available in the Color Naturals Creme Riche Ultra Hair Color range?', 'Can you use Color Naturals Creme Riche Ultra Hair Color outside of your home?', 'What technology does Color Naturals Creme Riche Ultra Hair Color use for rich, long-lasting color?', 'Which hair color product offers 100% Grey Coverage along with 50% more shine?', 'What are the three oils present in Color Naturals Creme Riche Ultra Hair Color that nourishes the hair?']"
172,Coffee Energizing Face Scrub,Beauty & Hygiene,Skin Care,BIOTIQUE,142.5,190.0,Face Care,3.0,Biotique Coffee Energizing Face Scrub is enriched with 100% pure coffee extract. The coffee purifies and deeply cleanses your face. It scrubs away impurities and dead cells and brightens your face. It rejuvenates and energizes your skin. This Scrub wash gives you a clear complexation by removing tan and blackheads. It unclogs the pores giving you a healthy glow. It is made with all pure ingredients and is preservative-free.,"['Does Biotique Coffee Energizing Face Scrub contain preservatives?', 'How does Coffee Energizing Face Scrub from Biotique brighten your face?', 'What is the main ingredient in Coffee Energizing Face Scrub?', 'How does Coffee Energizing Face Scrub rejuvenate and energize your skin?', 'How does Coffee Energizing Face Scrub give you a clear complexion?']"
208,Bio Myristica Spot Correcting Anti Acne Face Pack,Beauty & Hygiene,Skin Care,BIOTIQUE,149.25,199.0,Face Care,3.9,"Biotique Bio Myristica Face Pack will give you results that you have never experienced before. This spot correcting face pack treats pimples and helps control the bacteria that causes breakouts, redness and other skin irritations. Now say goodbye to bad skin days with this amazing formula!","['Can Bio Myristica Spot Correcting Anti Acne Face Pack be used for all skin types?', 'How long does it take to see results with Bio Myristica Spot Correcting Anti Acne Face Pack?', 'What ingredient in Bio Myristica Spot Correcting Anti Acne Face Pack helps control bacteria that causes breakouts?', 'Is Bio Myristica Spot Correcting Anti Acne Face Pack suitable for sensitive skin?', 'How often should Bio Myristica Spot Correcting Anti Acne Face Pack be used for optimal results?']"
213,Black Naturals Hair Colour Shade 1-Deep Black 20 ml + 20 gm,Beauty & Hygiene,Hair Care,Garnier,108.78,117.0,Hair Color,4.2,"It is an oil-enriched cream colour which gives natural-looking black hair. Works in 15 minutes, non-drip cream. Maintains softness, smoothness, and shine. No ammonia hair colour. Lasts for 6 weeks.","['Is Black Naturals Hair Colour Shade 1-Deep Black a permanent hair colour?', 'How long does the color from Black Naturals Hair Colour Shade 1-Deep Black last?', 'Does Black Naturals Hair Colour Shade 1-Deep Black contain any harsh chemicals?', 'Can Black Naturals Hair Colour Shade 1-Deep Black be used on colored hair?', 'How does Black Naturals Hair Colour Shade 1-Deep Black compare to other hair color brands in terms of shine?']"
220,Gentle Baby Wipes,Baby Care,Diapers & Wipes,Himalaya,699.0,699.0,Baby Wipes,4.1,"Infused with the goodness of Aloe Vera and Indian Lotus extracts, Gentle Baby Wipes are mild enough to soothe baby's bottoms during a diaper change. The wipes can also be used to gently cleanse baby's skin. The natural ingredients ensure that the baby remains bacteria-free throughout the day. Ideal for use when travelling.","['Does Gentle Baby Wipes contain aloe vera?', 'Which extracts are infused in Gentle Baby Wipes?', 'Can Gentle Baby Wipes be used for anything other than diaper changes?', 'How long do the natural ingredients in Gentle Baby Wipes provide protection?', 'Is Gentle Baby Wipes recommended for use while traveling?']"
247,Peach Shine Lip Care,Beauty & Hygiene,Skin Care,Himalaya,112.5,150.0,Lip Care,4.0,"Moisturizes your lips to keep them soft and supple. Shine with Himalaya Herbals naturally glossy Peach Shine Lip Care. Our luxurious lip balm moisturizes your lips to keep them soft and supple. The moisture-retention formula with skin soothers makes your lips naturally glossy while the antioxidants and natural actives care for your lips by protecting them from environmental damage. Enriched with 100% natural colour, Vitamin E and antioxidants, Peach Shine Lip Care is free from preservatives, petroleum jelly, mineral oil and silicone. Not tested on animals.","['Does Peach Shine Lip Care contain preservatives?', 'How does Himalaya Herbals naturally glossy Peach Shine Lip Care protect lips from damage?', 'What natural actives guard against the elements in Peach Shine Lip Care?', 'Does Peach Shine Lip Care contain preservatives?', 'How many different kinds of oils are used in Peach Shine Lip Care?']"
252,Skin Awakening Rinse,Beauty & Hygiene,Skin Care,Kaya Clinic,432.0,480.0,Face Care,5.0,"Specially formulated by kaya dermatologists, skin awakening rinse is a multi-vitamin shimmering cleanser that is designed to wash away make-up and impurities without altering skins natural moisture balance.","['Does Skin Awakening Rinse contain any harsh chemicals?', 'What does the skin of Kaya dermatologists look like?', 'How many different vitamins are included in Skin Awakening Rinse?', 'What is the color of Skin Awakening Rinse?', 'Can Skin Awakening Rinse be used on sensitive skin?']"
