index,product,category,sub_category,brand,sale_price,market_price,type,rating,description,questions
5,Creme Soft Soap - For Hands & Body,Beauty & Hygiene,Bath & Hand Wash,Nivea,162.0,162.0,Bathing Bars & Soaps,4.4,"Nivea Creme Soft Soap gives your skin the best care that it must get. The soft bar consists of Vitamins F and Almonds which are really skin gracious and help you get great skin. It provides the skin with moisture and leaves behind flawless and smooth skin. It makes sure that your body is totally free of germs & dirt and at the same time well nourished.For Beauty tips, tricks & more visit https://bigbasket.blog/","['Is Nivea Creme Soft Soap effective for washing hands?', 'How does Nivea Creme Soft Soap leave the skin feeling?', 'What are the main ingredients in Nivea Creme Soft Soap?', 'Can Nivea Creme Soft Soap help in getting rid of germs?', 'Where can one find beauty tips related to Nivea Creme Soft Soap?']"
103,Fructis Serum - Long & Strong,Beauty & Hygiene,Hair Care,Garnier,230.0,230.0,Shampoo & Conditioner,4.8,"Garnier Fruits Long & Strong Strengthening Serum detangles unruly hair, softens hair without heaviness and helps stop split and breakage ends. It is enriched with the goodness of Grape seed and avocado oil that result in smoother, shinier and longer hair.  For Beauty tips, tricks & more visit https://bigbasket.blog/","['Does Fructis Serum Long & Strong contain avocado oil?', 'How does Fructis Serum Long & Strong help in preventing split ends?', 'Will Fructis Serum Long & Strong make hair heavier after use?', 'What benefits does the grape seed in Fructis Serum Long & Strong provide?', 'Can Fructis Serum Long & Strong be used on dry hair?']"
128,Cherry Lip Balm 4.5 g + Deep Nourish Elbow & Foot Cream 50 g,Beauty & Hygiene,Skin Care,Kaya Clinic,455.0,525.0,Lip Care,,"Cherry Lip Balm:

The skin on your lips is thinner than your facial skin and requires nourishing care to keep it supple and hydrated
Kaya Derma Naturals lip balms are a handbag essential that comes in stick format which is easy to use and carry when you are out and about 
Heals dry and chapped lips 
Moisturised and softens lips 
Soft glossy look 6.Contains SPF protection

Deep Nourish Elbow & Foot Cream: This cream is specially formulated to gently heal rough and cracked feet. It is also recommended for foot softening, treating corns, calluses and thick skin around the elbows and knees. Makes feet smooth and soft.","['Does Cherry Lip Balm come in a stick format?', 'How does Kaya Derma Naturals Cherry Lip Balm protect your lips?', 'What is the main purpose of Deep Nourish Elbow & Foot Cream?', 'Which product is recommended for treating corns and calluses?', 'How does Cherry Lip Balm help in keeping your lips supple and hydrated?']"
163,Color Naturals Creme Riche Ultra Hair Color - Raspberry Red,Beauty & Hygiene,Hair Care,Garnier,199.0,199.0,Hair Color,4.1,"Garnier Color Naturals is creme hair colour which gives 100% Grey Coverage and ultra visible colour with 50% more shine. It has a superior Colour Lock technology which gives you a rich long-lasting colour that lasts up to 8 weeks. Color Naturals comes in a range of 8 gorgeous shades especially suited for Indian skin tones. It is available in an easy to use kit which can be used at your convenience in the comfort of your house! It is enriched with the goodness of 3 oils - Almond, Olive and Avocado which nourishes hair and provides shiny, long-lasting colour. Your hair will love the nourishment and you will love the colour!","['How many shades are available in the Color Naturals Creme Riche Ultra Hair Color range?', 'Does the Color Naturals Creme Riche Ultra Hair Color kit contain avocado oil?', 'How long does the Color Naturals Creme Riche Ultra Hair Color last on the hair?', 'What makes Color Naturals Creme Riche Ultra Hair Color especially suited for Indian skin tones?', 'Does Color Naturals Creme Riche Ultra Hair Color contain ammonia?']"
172,Coffee Energizing Face Scrub,Beauty & Hygiene,Skin Care,BIOTIQUE,142.5,190.0,Face Care,3.0,Biotique Coffee Energizing Face Scrub is enriched with 100% pure coffee extract. The coffee purifies and deeply cleanses your face. It scrubs away impurities and dead cells and brightens your face. It rejuvenates and energizes your skin. This Scrub wash gives you a clear complexation by removing tan and blackheads. It unclogs the pores giving you a healthy glow. It is made with all pure ingredients and is preservative-free.,"['Is Coffee Energizing Face Scrub suitable for all skin types?', 'How does Biotique Coffee Energizing Face Scrub brighten the face?', 'Which ingredient helps in purifying and deeply cleansing the face in Coffee Energizing Face Scrub?', 'What makes Coffee Energizing Face Scrub from Biotique different from other face scrubs?', 'How does Coffee Energizing Face Scrub give you a healthy glow?']"
208,Bio Myristica Spot Correcting Anti Acne Face Pack,Beauty & Hygiene,Skin Care,BIOTIQUE,149.25,199.0,Face Care,3.9,"Biotique Bio Myristica Face Pack will give you results that you have never experienced before. This spot correcting face pack treats pimples and helps control the bacteria that causes breakouts, redness and other skin irritations. Now say goodbye to bad skin days with this amazing formula!","['Is the Bio Myristica Spot Correcting Anti Acne Face Pack suitable for all skin types?', 'How long does it take for the Bio Myristica Spot Correcting Anti Acne Face Pack to show results?', 'Does the Bio Myristica Spot Correcting Anti Acne Face Pack contain any harsh chemicals?', 'Can the Bio Myristica Spot Correcting Anti Acne Face Pack also be used as a daily face mask?', 'Does the Bio Myristica Spot Correcting Anti Acne Face Pack help with reducing acne scars?']"
213,Black Naturals Hair Colour Shade 1-Deep Black 20 ml + 20 gm,Beauty & Hygiene,Hair Care,Garnier,108.78,117.0,Hair Color,4.2,"It is an oil-enriched cream colour which gives natural-looking black hair. Works in 15 minutes, non-drip cream. Maintains softness, smoothness, and shine. No ammonia hair colour. Lasts for 6 weeks.","['Does Black Naturals Hair Colour Shade 1-Deep Black contain any oils?', 'How long does the effect of Black Naturals Hair Colour Shade 1-Deep Black last?', 'Can you apply Black Naturals Hair Colour Shade 1-Deep Black in less than 15 minutes?', 'Is Black Naturals Hair Colour Shade 1-Deep Black a drip cream?', 'Will Black Naturals Hair Colour Shade 1-Deep Black maintain the softness and smoothness of your hair?']"
252,Skin Awakening Rinse,Beauty & Hygiene,Skin Care,Kaya Clinic,432.0,480.0,Face Care,5.0,"Specially formulated by kaya dermatologists, skin awakening rinse is a multi-vitamin shimmering cleanser that is designed to wash away make-up and impurities without altering skins natural moisture balance.","['Is Skin Awakening Rinse designed to alter skins natural moisture balance?', 'What are the key ingredients in Skin Awakening Rinse?', 'How does Skin Awakening Rinse cleanse the skin?', 'Does Skin Awakening Rinse have a matte finish rather than shimmering?', 'Can Skin Awakening Rinse be used as a toner?']"
262,Sun Expert Fairnes Sunscren Lotion SPF 30 PA++,Beauty & Hygiene,Skin Care,Lakme,385.0,385.0,Body Care,4.5,"SPF 30 is a measure of protection for the skin from UVB rays and broad spectrum UV protection, Keeps your skin looking fresh and oil-free, PA+ is a measure of protection for the skin from the harmful UVA rays, Helps lighten your skin tone on regular usage.  For Beauty tips, tricks & more visit https://bigbasket.blog/","['Is Sun Expert Fairness Sunscreen Lotion SPF 30 PA++ oil-free?', 'How does Sun Expert Fairness Sunscreen Lotion help in lightening skin tone?', 'Does Sun Expert Fairness Sunscreen Lotion protect against UVA rays?', 'What is the significance of SPF 30 in Sun Expert Fairness Sunscreen Lotion?', 'How can Sun Expert Fairness Sunscreen Lotion be helpful for skin protection?']"
319,Milk Delights Face Wash With Honey For Dry Skin,Beauty & Hygiene,Skin Care,Nivea,86.4,90.0,Face Care,4.2,"Presenting New Nivea Milk Delights Face Wash which has the goodness of milk proteins and moisturising honey. Formulated specifically for the dry skin, it gives you healthy-looking skin. It cleans the face from within making it healthy and dirt-free.","['Does the Milk Delights Face Wash With Honey For Dry Skin contain milk proteins?', 'How does the Nivea Milk Delights Face Wash work on dry skin?', 'Is the New Nivea Milk Delights Face Wash suitable for oily skin?', 'What are the key ingredients in the Milk Delights Face Wash With Honey For Dry Skin?', 'How does the honey in the Nivea Milk Delights Face Wash help the skin?']"
